LINE_NAME,COUNTRY_1,COUNTRY_2,SHAPE_TYPE,NUM_COORDINATES,COORDINATES
Sri Lanka - India,Sri Lanka,India,LineString,6,"[(80.05, 10.083333333333334), (79.58333333333333, 9.95), (79.37666666666667, 9.669166666666667), (79.51166666666667, 9.363333333333333), (79.53333333333333, 9.216666666666667), (79.53333333333333, 9.1)]"
Sri Lanka - India,Sri Lanka,India,LineString,13,"[(79.53333333333333, 9.1), (79.52166666666666, 9.0), (79.48833333333333, 8.896666666666667), (79.30333333333333, 8.666666666666666), (79.21666666666667, 8.62), (79.07833333333333, 8.52), (78.92333333333333, 8.37), (78.895, 8.203333333333333), (78.76166666666667, 7.588333333333333), (78.64666666666666, 7.35), (78.20333333333333, 6.513333333333334), (77.845, 5.898333333333333), (77.17666666666666, 5.0)]"
Sri Lanka - India,Sri Lanka,India,LineString,8,"[(80.05, 10.083333333333334), (80.08333333333333, 10.096666666666666), (80.15833333333333, 10.14), (80.76666666666667, 10.55), (81.04166666666667, 10.695), (81.93333333333334, 11.045), (82.40666666666667, 11.266666666666667), (83.36666666666666, 11.443333333333333)]"
Sri Lanka - India,Sri Lanka,India,LineString,2,"[(77.17666666666666, 5.0), (77.02333333333333, 4.79)]"
Maldives - India,Maldives,India,LineString,20,"[(77.02333333333333, 4.79), (76.94666666666667, 4.870833333333334), (76.72083333333333, 5.093055555555555), (76.61333333333333, 5.232222222222222), (75.69277777777778, 6.470555555555555), (75.64194444444445, 6.555833333333333), (75.42944444444444, 6.851666666666667), (75.27194444444444, 7.2575), (75.20166666666667, 7.4), (75.18833333333333, 7.421944444444445), (74.93583333333333, 7.858333333333333), (74.49583333333334, 7.808333333333334), (73.64277777777778, 7.697222222222223), (73.32722222222222, 7.650555555555556), (73.05638888888889, 7.681111111111111), (72.825, 7.705277777777778), (72.70722222222223, 7.715), (72.0625, 7.8180555555555555), (70.25222222222222, 8.09388888888889), (69.59583333333333, 7.9575000000000005)]"
Bangladesh - India,Bangladesh,India,LineString,4,"[(89.15555555555557, 21.6445), (89.18311111111112, 21.445444444444444), (89.23236111111112, 21.12911111111111), (89.3735488470601, 18.00904908510415)]"
Connection line Bangladesh - India,Bangladesh,India,LineString,2,"[(89.15555555555557, 21.644499999999994), (89.1500134124891, 21.666097116388983)]"
Connection line Maldives - India,Maldives,India,LineString,2,"[(69.59583333333333, 7.9575000000000005), (69.4783393234737, 7.933370530320303)]"
Connection line Sri Lanka - India,Sri Lanka,India,LineString,2,"[(83.36666666666666, 11.443333333333333), (83.40247227593912, 11.448824809415157)]"
India Straight Baseline,India,,LineString,14,"[(71.86333333333332, 12.387500000000045), (71.7222222222222, 11.963333333333338), (71.75000000000009, 11.875), (71.99722222222229, 11.17500000000004), (72.23333333333338, 10.016666666666708), (73.01000000000008, 8.276111111111163), (73.0811111111112, 8.324166666666656), (73.64888888888888, 10.058333333333337), (73.66527777777779, 10.13750000000006), (73.70277777777781, 10.813055555555593), (73.01055555555556, 11.487222222222258), (71.88611111111115, 12.397222222222268), (71.87500000000003, 12.40000000000002), (71.86333333333332, 12.387500000000045)]"
India Straight Baseline,India,,LineString,8,"[(68.07533333333342, 23.67244444444441), (68.11691666666664, 23.60841666666667), (68.12458333333339, 23.60422222222229), (68.34694444444446, 23.40388888888893), (68.46333333333334, 23.306666666666644), (68.51388888888894, 23.26111111111115), (68.60916666666665, 23.18416666666667), (68.93277777777783, 22.31000000000003)]"
